City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Tete,MZ,77.14,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
285,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
288,Bubaque,GW,77.56,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
290,Veinticinco De Mayo,AR,75.06,moderate rain,-35.4323,-60.1727,Estancia La Rosada
293,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
297,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
303,Karaton,ID,85.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
304,Maraba,BR,75.38,clear sky,-5.3686,-49.1178,Hotel Del Principe
308,Realeza,BR,71.31,light rain,-25.7689,-53.5325,Hotel Renascer
311,Lingao,CN,74.35,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
312,Impfondo,CG,73.02,broken clouds,1.6381,18.0667,Auberge La Place de Jules
313,Buchanan,LR,73.36,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
314,Mount Gambier,AU,88.25,scattered clouds,-37.8333,140.7667,The Commodore
323,Puerto Suarez,BO,71.94,overcast clouds,-18.95,-57.8,Hotel casa real
327,Porto Novo,BJ,73.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
329,Denpasar,ID,85.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
330,Esperance,AU,73.44,clear sky,-33.8667,121.9,Hospitality Esperance
331,Sungairaya,ID,85.53,broken clouds,0.7,108.9,Mess P.Milu
333,Markapur,IN,84.4,scattered clouds,15.7333,79.2833,VIHARI GRAND INN
336,Axim,GH,75.79,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
337,Prainha,BR,72.28,overcast clouds,-1.8,-53.48,Casa Rocha
338,Sao Gabriel Da Cachoeira,BR,72.05,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
339,Quatre Cocos,MU,84.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
347,Tutoia,BR,77.04,overcast clouds,-2.7619,-42.2744,Pousada Guará's
349,Salalah,OM,78.55,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
351,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
352,Lashio,MM,71.94,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
353,Santa Fe,AR,84.02,few clouds,-31.6333,-60.7,Conquistador Hotel
358,San Fernando,PH,89.69,scattered clouds,15.0286,120.6898,Maharlika Hostel
360,Inirida,CO,76.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
363,Saint-Pierre,RE,82.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
365,Malpe,IN,85.3,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
371,Saint-Joseph,RE,80.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
375,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
378,Taruma,BR,70.0,clear sky,-22.7467,-50.5772,Hotel Tarumã Alvorada
380,Conceicao Do Araguaia,BR,73.15,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
381,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
382,Jatiroto,ID,82.78,overcast clouds,-7.8833,111.1167,Mushola Al Huda
384,Alyangula,AU,87.64,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
388,Namatanai,PG,82.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
390,Port Lincoln,AU,72.93,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
392,Lower Hutt,NZ,71.02,scattered clouds,-41.2167,174.9167,Boulcott Lodge
397,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
400,Situbondo,ID,83.3,overcast clouds,-7.7062,114.0098,Kost Putri KAMELIA
403,Mancheral,IN,82.2,few clouds,18.8667,79.4333,Hotel Vaibhav
411,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
412,Humaita,BR,73.8,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
416,Kruisfontein,ZA,72.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
417,Binga,ZW,72.63,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
418,Carutapera,BR,76.35,few clouds,-1.195,-46.02,Lidera
421,Biak,ID,78.89,light rain,-0.9131,122.8766,Penginapan Kim
422,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
423,Banda Aceh,ID,83.64,scattered clouds,5.5577,95.3222,Sulthan Hotel International
426,Ilhabela,BR,76.01,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
430,Cockburn Town,TC,78.46,clear sky,21.4612,-71.1419,Osprey Beach Hotel
432,Vung Tau,VN,80.13,broken clouds,10.346,107.0843,Green hotel
438,Flinders,AU,74.21,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
441,Dhidhdhoo,MV,80.94,overcast clouds,6.8833,73.1,Dhidhoo beach
446,Cairns,AU,85.95,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
451,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
453,Sao Filipe,CV,72.7,overcast clouds,14.8961,-24.4956,Hotel Xaguate
454,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
458,Nicoya,CR,78.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
460,Emerald,AU,87.35,overcast clouds,-23.5333,148.1667,The Irish Village
461,Puerto Escondido,MX,75.69,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
463,Marsh Harbour,BS,74.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
464,Soyo,AO,76.15,overcast clouds,-6.1349,12.3689,Hotel Mpampa
471,Lorengau,PG,85.39,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
472,Gisborne,NZ,70.95,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
473,Alugan,PH,79.54,overcast clouds,12.2188,125.4808,JM Lodge
474,Cururupu,BR,74.41,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
488,Kribi,CM,76.66,overcast clouds,2.95,9.9167,La Grace Hôtel
493,Custodia,BR,70.02,scattered clouds,-8.0875,-37.6431,Hotel do Sertão
496,Plettenberg Bay,ZA,70.12,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
497,Kuching,MY,86.22,broken clouds,1.55,110.3333,The Ranee Boutique Suites
509,Mayumba,GA,76.6,overcast clouds,-3.432,10.6554,LIKWALE LODGE
512,Kupang,ID,84.78,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
513,Mana,GF,75.74,broken clouds,5.6592,-53.7767,LE SAMANA
514,Mae Hong Son,TH,77.14,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
516,Fray Bentos,UY,78.35,clear sky,-33.1325,-58.2956,Gran Hotel Fray Bentos
517,Bonthe,SL,73.78,broken clouds,7.5264,-12.505,Bonthe Holiday Village
525,Lisala,CD,71.44,broken clouds,2.15,21.5167,Flat hôtel tozelaka
531,Ambilobe,MG,80.13,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
532,Sakaraha,MG,78.84,few clouds,-22.9,44.5333,Le Relais
534,Pakxe,LA,86.14,broken clouds,15.1167,105.7833,Champasak Palace Hotel
535,Kismayo,SO,82.62,overcast clouds,-0.3582,42.5454,Agan-Hotel
542,Condado,CU,71.29,clear sky,21.8767,-79.8403,Casa Guachinango
545,Santo Domingo,DO,76.03,clear sky,18.5001,-69.9886,Cabañas City Heart
546,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
557,Bako,ET,72.28,overcast clouds,5.7833,36.5667,Goh Hotel
561,Rocha,UY,74.97,heavy intensity rain,-34.4833,-54.3333,Hotel Arrarte
563,Japura,ID,85.21,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
565,Key West,US,73.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
570,Ixtapa,MX,74.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
572,Isangel,VU,82.85,overcast clouds,-19.55,169.2667,Tanna Lodge
574,Gangawati,IN,86.47,broken clouds,15.4333,76.5333,Ashoka
575,Puerto Leguizamo,CO,71.92,overcast clouds,-0.1934,-74.7819,la casona de juancho
576,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
580,Culebra,PR,77.09,clear sky,18.303,-65.301,Palmetto Guesthouse
581,Shimoni,KE,80.15,overcast clouds,-4.6476,39.3817,Shimoni Reef Lodge
582,Muli,MV,81.61,moderate rain,2.9167,73.5667,Medhufushi Island Resort
588,Bo Rai,TH,85.1,light rain,12.5728,102.5371,Baiboon Resort
589,Itarema,BR,76.84,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
590,Lethem,GY,77.16,broken clouds,3.3803,-59.7968,Savannah Inn
591,Sao Miguel Do Araguaia,BR,71.02,clear sky,-13.275,-50.1628,Hotel Executivo Palace
592,Bohicon,BJ,72.0,scattered clouds,7.1783,2.0667,Hôtel La Majesté
594,Marapanim,BR,73.33,few clouds,-0.7175,-47.6997,Ecomangue Pousada
595,Port-Gentil,GA,79.5,overcast clouds,-0.7193,8.7815,Fengshui Residence
597,Guiratinga,BR,70.86,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
600,Poum,NC,81.19,broken clouds,-20.2333,164.0167,Gîte kajeon
602,Sambava,MG,80.04,light rain,-14.2667,50.1667,Melrose
605,Moindou,NC,75.15,moderate rain,-21.6924,165.677,Equi-lodge de Moindou
610,Sao Joao Da Barra,BR,75.25,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
612,Torit,SS,79.57,broken clouds,4.4133,32.5678,Diplomat Guest House
613,Maragogi,BR,77.36,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
616,Colac,AU,82.0,clear sky,-38.3333,143.5833,Otway Gate Motel
617,Muisne,EC,75.69,light rain,0.6,-80.0333,Quinta Samay
621,Cordoba,AR,79.59,broken clouds,-31.4135,-64.1811,Hotel Sussex
627,Moree,AU,88.75,clear sky,-29.4667,149.85,Molika Springs Motel
632,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
641,Beira,MZ,76.86,light rain,-19.8436,34.8389,Beira Terrace Hotel
642,Pangkalanbuun,ID,87.94,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
646,Grand-Santi,GF,70.77,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
651,Cartagena,CO,77.72,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
652,Sri Aman,MY,82.44,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
653,Sechura,PE,72.19,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
657,Bulolo,PG,78.33,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
658,Bima,ID,87.37,overcast clouds,-8.4667,118.7167,Lambitu Hotel
660,Nabire,ID,86.43,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
662,Bosaso,SO,76.1,broken clouds,11.2842,49.1816,Red Sea Hotel
