City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
200,Mgachi,51.05,142.2667,7.43,90,98,3.85,RU,overcast clouds
201,Kyra,49.5776,111.9753,14.54,79,90,1.83,RU,overcast clouds
202,Salta,-24.7859,-65.4117,72.19,89,75,1.99,AR,broken clouds
203,Atar,20.5169,-13.0499,67.71,15,89,8.57,MR,overcast clouds
204,Keelung,25.1283,121.7419,64.06,94,100,12.62,TW,light rain
205,Panyutyne,48.9333,36.2833,26.31,95,98,11.77,UA,overcast clouds
206,Garowe,8.4054,48.4845,73.09,61,94,12.57,SO,overcast clouds
207,Vagur,61.4732,-6.8119,46.76,88,100,30.29,FO,overcast clouds
208,Yurino,56.2942,46.3039,11.52,88,100,12.88,RU,overcast clouds
209,Batemans Bay,-35.7167,150.1833,72.99,60,44,7.94,AU,scattered clouds
210,Chilca,-12.5211,-76.7372,69.96,91,97,6.08,PE,overcast clouds
211,Acapulco,16.8634,-99.8901,74.98,80,10,5.73,MX,clear sky
212,Tautira,-17.7333,-149.15,82.42,80,100,17.81,PF,light rain
213,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,69,75,0.0,RU,broken clouds
214,Dingle,10.9995,122.6711,84.18,66,61,11.59,PH,broken clouds
215,Iskateley,67.6803,53.1512,21.9,95,100,11.77,RU,overcast clouds
216,Oranjemund,-28.55,16.4333,69.58,73,31,5.48,NA,scattered clouds
217,Laguna,38.421,-121.4238,55.96,91,1,0.0,US,mist
218,Bilibino,68.0546,166.4372,-29.25,83,4,3.53,RU,clear sky
219,Ranong,9.9658,98.6348,89.53,55,24,7.23,TH,few clouds
220,Pizarro,4.9533,-77.366,76.28,93,92,6.17,CO,moderate rain
221,Redlands,34.0556,-117.1825,60.49,42,0,0.0,US,clear sky
222,Thompson,55.7435,-97.8558,1.56,71,100,9.22,CA,overcast clouds
223,Algodones,20.3888,-105.4773,68.54,71,100,7.25,MX,overcast clouds
224,Saint George,37.1041,-113.5841,43.54,49,0,13.0,US,clear sky
225,Niscemi,37.1486,14.3913,47.35,70,81,9.8,IT,broken clouds
226,Nadym,65.5333,72.5167,10.24,91,11,16.87,RU,few clouds
227,Omsukchan,62.5333,155.8,-15.92,58,0,3.11,RU,clear sky
228,Shenjiamen,29.9576,122.298,50.34,62,97,7.99,CN,overcast clouds
229,Berdigestyakh,62.0989,126.6992,-1.93,98,99,2.95,RU,overcast clouds
230,Bafoulabe,13.8065,-10.8321,70.68,18,11,4.09,ML,few clouds
231,Halmeu,47.9667,23.0167,16.65,97,55,3.49,RO,broken clouds
232,Provideniya,64.3833,-173.3,-3.5,72,7,12.86,RU,clear sky
233,Manakara,-22.1333,48.0167,76.75,80,98,6.51,MG,light rain
234,Salinopolis,-0.6136,-47.3561,78.39,85,11,9.42,BR,few clouds
235,Kandrian,-6.2167,149.55,82.26,78,96,5.73,PG,light rain
236,Chuy,-33.6971,-53.4616,74.68,92,59,12.5,UY,broken clouds
237,Guerrero Negro,27.9769,-114.0611,63.46,43,0,10.16,MX,clear sky
238,Klaksvik,62.2266,-6.589,47.66,85,100,22.24,FO,overcast clouds
239,Banjarmasin,-3.3244,114.591,78.94,74,100,6.87,ID,light rain
240,Melfi,40.9965,15.6514,43.48,88,95,4.03,IT,overcast clouds
241,Minas De Barroteran,27.6333,-101.2833,36.91,49,100,8.01,MX,overcast clouds
242,Bengkulu,-3.8004,102.2655,84.15,64,87,7.81,ID,overcast clouds
243,Port Hueneme,34.1478,-119.1951,65.23,63,1,0.0,US,clear sky
244,Bocaiuva,-17.1078,-43.815,67.46,92,6,2.51,BR,clear sky
245,Moundou,8.5667,16.0833,64.22,29,59,3.31,TD,broken clouds
246,Esik,43.3552,77.4525,24.22,41,9,7.54,KZ,clear sky
247,Naze,28.3667,129.4833,56.32,62,96,8.75,JP,overcast clouds
248,Sibolga,1.7427,98.7792,86.4,58,85,6.06,ID,overcast clouds
249,Kenora,49.8167,-94.4337,-8.21,77,0,14.97,CA,clear sky
250,Tambura,5.6,27.4667,71.92,22,40,9.17,SS,scattered clouds
251,Zaltan,32.947,11.8665,48.2,49,23,6.91,LY,few clouds
252,Sandakan,5.8402,118.1179,76.68,94,40,1.99,MY,scattered clouds
253,Torbay,47.6666,-52.7314,42.58,94,90,14.97,CA,overcast clouds
254,Okhotsk,59.3833,143.3,-7.65,76,65,9.28,RU,broken clouds
255,Muros,42.7762,-9.0603,49.08,68,0,16.49,ES,clear sky
256,Ulaangom,49.9811,92.0667,5.25,94,100,3.02,MN,overcast clouds
257,Kudahuvadhoo,2.6708,72.8944,81.14,70,61,11.61,MV,broken clouds
258,Flums,47.0906,9.343,33.15,85,99,0.96,CH,overcast clouds
259,Faanui,-16.4833,-151.75,81.61,77,100,18.63,PF,overcast clouds
260,Luanda,-8.8368,13.2343,71.6,94,40,4.61,AO,scattered clouds
261,Rawson,-43.3002,-65.1023,65.59,86,48,20.98,AR,scattered clouds
262,Boden,65.8252,21.6886,26.6,80,2,7.7,SE,clear sky
263,Griffith,41.5284,-87.4237,18.09,74,75,1.01,US,broken clouds
264,Codrington,-38.2667,141.9667,84.31,33,0,18.79,AU,clear sky
265,Grand Baie,-20.0182,57.5802,84.67,84,34,7.0,MU,scattered clouds
266,Lasa,46.6166,10.7002,29.62,94,53,9.44,IT,broken clouds
267,Vardo,70.3705,31.1107,23.2,73,98,24.34,NO,light snow
268,Pacific Grove,36.6177,-121.9166,53.55,89,0,1.01,US,clear sky
269,Norman Wells,65.282,-126.8329,-20.16,63,40,3.44,CA,scattered clouds
270,Guasdualito,7.2424,-70.7324,75.2,78,88,0.0,VE,overcast clouds
271,Vao,-22.6667,167.4833,76.24,88,97,18.34,NC,moderate rain
272,Kahului,20.8947,-156.47,75.22,81,75,4.61,US,broken clouds
273,Lakes Entrance,-37.8811,147.981,82.58,68,0,13.69,AU,clear sky
274,Kathmandu,27.7167,85.3167,55.2,55,95,2.42,NP,overcast clouds
275,Auki,-8.7676,160.7034,76.75,92,100,4.27,SB,overcast clouds
276,Lac Du Bonnet,50.2536,-96.0612,-4.41,73,54,14.76,CA,broken clouds
277,Dunedin,-45.8742,170.5036,66.79,59,95,13.0,NZ,overcast clouds
278,Korgen,66.0771,13.8153,28.11,98,96,4.5,NO,overcast clouds
